Successfully loaded english dataset
Successfully loaded afrikaans dataset
Successfully loaded swahili dataset
Successfully loaded south-african-english dataset
Successfully loaded xhosa dataset
Successfully loaded isizulu dataset
Successfully loaded kinyarwanda dataset
Successfully loaded igbo dataset
Successfully loaded tswana dataset
Successfully loaded zulu dataset
Combined training dataset size: 18779
Combined test dataset size: 1393
[2025-04-22 01:21:27,808] [INFO] [real_accelerator.py:219:get_accelerator] Setting ds_accelerator to cuda (auto detect)
Warning: The cache directory for DeepSpeed Triton autotune, /home/mkapadni/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
{'loss': 4.4865, 'grad_norm': 3.676882743835449, 'learning_rate': 2.996933560477002e-05, 'epoch': 0.02}
{'loss': 2.9402, 'grad_norm': 10.377198219299316, 'learning_rate': 2.9003407155025556e-05, 'epoch': 0.34}
{'loss': 2.7925, 'grad_norm': 13.754890441894531, 'learning_rate': 2.895229982964225e-05, 'epoch': 0.36}
{'loss': 2.8036, 'grad_norm': 18.689891815185547, 'learning_rate': 2.8901192504258946e-05, 'epoch': 0.37}
{'loss': 2.794, 'grad_norm': 16.68349838256836, 'learning_rate': 2.885008517887564e-05, 'epoch': 0.39}
{'loss': 2.7817, 'grad_norm': 9.358999252319336, 'learning_rate': 2.8804088586030663e-05, 'epoch': 0.41}
{'loss': 2.7661, 'grad_norm': 34.53974151611328, 'learning_rate': 2.8752981260647358e-05, 'epoch': 0.43}
{'loss': 2.7286, 'grad_norm': 8.288246154785156, 'learning_rate': 2.8701873935264056e-05, 'epoch': 0.44}
{'loss': 2.7566, 'grad_norm': 109.06746673583984, 'learning_rate': 2.865076660988075e-05, 'epoch': 0.46}
{'loss': 2.8495, 'grad_norm': 10.681918144226074, 'learning_rate': 2.8599659284497446e-05, 'epoch': 0.48}
{'loss': 2.621, 'grad_norm': 7.3021697998046875, 'learning_rate': 2.854855195911414e-05, 'epoch': 0.49}
{'loss': 2.6854, 'grad_norm': 7.630194187164307, 'learning_rate': 2.8497444633730837e-05, 'epoch': 0.51}
{'loss': 2.3639, 'grad_norm': 9.511828422546387, 'learning_rate': 2.8446337308347532e-05, 'epoch': 0.53}
{'loss': 2.8545, 'grad_norm': 8.644947052001953, 'learning_rate': 2.8395229982964227e-05, 'epoch': 0.55}
{'loss': 2.5784, 'grad_norm': 21.715871810913086, 'learning_rate': 2.8344122657580922e-05, 'epoch': 0.56}
{'loss': 2.2776, 'grad_norm': 9.478007316589355, 'learning_rate': 2.8293015332197617e-05, 'epoch': 0.58}
{'loss': 2.4717, 'grad_norm': 10.718701362609863, 'learning_rate': 2.8241908006814312e-05, 'epoch': 0.6}
{'loss': 2.2062, 'grad_norm': 13.476194381713867, 'learning_rate': 2.8190800681431007e-05, 'epoch': 0.61}
{'loss': 2.3769, 'grad_norm': 15.83627986907959, 'learning_rate': 2.8139693356047703e-05, 'epoch': 0.63}
{'loss': 2.1565, 'grad_norm': 18.367835998535156, 'learning_rate': 2.8088586030664398e-05, 'epoch': 0.65}
{'loss': 2.1683, 'grad_norm': 13.882441520690918, 'learning_rate': 2.8037478705281093e-05, 'epoch': 0.66}
{'loss': 1.9745, 'grad_norm': 23.362720489501953, 'learning_rate': 2.7986371379897788e-05, 'epoch': 0.68}
{'loss': 1.95, 'grad_norm': 20.009191513061523, 'learning_rate': 2.7935264054514483e-05, 'epoch': 0.7}
{'loss': 1.8044, 'grad_norm': 23.859619140625, 'learning_rate': 2.7884156729131178e-05, 'epoch': 0.72}
{'loss': 1.9037, 'grad_norm': 18.200754165649414, 'learning_rate': 2.7833049403747873e-05, 'epoch': 0.73}
{'loss': 1.8261, 'grad_norm': 17.70444107055664, 'learning_rate': 2.778194207836457e-05, 'epoch': 0.75}
{'loss': 1.5474, 'grad_norm': 14.80522346496582, 'learning_rate': 2.7730834752981263e-05, 'epoch': 0.77}
{'loss': 1.8084, 'grad_norm': 26.078868865966797, 'learning_rate': 2.767972742759796e-05, 'epoch': 0.78}
{'loss': 1.9702, 'grad_norm': 18.845361709594727, 'learning_rate': 2.7628620102214654e-05, 'epoch': 0.8}
{'loss': 1.5645, 'grad_norm': 31.03731346130371, 'learning_rate': 2.757751277683135e-05, 'epoch': 0.82}
{'loss': 1.401, 'grad_norm': 12.872753143310547, 'learning_rate': 2.7526405451448044e-05, 'epoch': 0.83}
{'loss': 1.4831, 'grad_norm': 11.36168384552002, 'learning_rate': 2.7475298126064736e-05, 'epoch': 0.85}
{'loss': 1.5316, 'grad_norm': 14.996569633483887, 'learning_rate': 2.742419080068143e-05, 'epoch': 0.87}
{'loss': 1.5242, 'grad_norm': 62.66364288330078, 'learning_rate': 2.7373083475298126e-05, 'epoch': 0.89}
{'loss': 1.506, 'grad_norm': 24.942771911621094, 'learning_rate': 2.732197614991482e-05, 'epoch': 0.9}
{'loss': 1.923, 'grad_norm': 22.297607421875, 'learning_rate': 2.7270868824531516e-05, 'epoch': 0.92}
{'loss': 1.5209, 'grad_norm': 21.35322380065918, 'learning_rate': 2.7224872231686545e-05, 'epoch': 0.94}
{'loss': 1.4141, 'grad_norm': 48.53092956542969, 'learning_rate': 2.717376490630324e-05, 'epoch': 0.95}
{'loss': 1.5764, 'grad_norm': 31.179201126098633, 'learning_rate': 2.7122657580919935e-05, 'epoch': 0.97}
{'loss': 1.6953, 'grad_norm': 39.03421401977539, 'learning_rate': 2.707155025553663e-05, 'epoch': 0.99}
{'eval_loss': 1.421849012374878, 'eval_accuracy': 0.6058865757358219, 'eval_f1': 0.5450853176170903, 'eval_precision': 0.5225668597490842, 'eval_recall': 0.6058865757358219, 'eval_runtime': 41.4531, 'eval_samples_per_second': 33.604, 'eval_steps_per_second': 2.123, 'epoch': 1.0}
{'loss': 1.6814, 'grad_norm': 36.300941467285156, 'learning_rate': 2.7020442930153325e-05, 'epoch': 1.01}
{'loss': 1.5631, 'grad_norm': 15.554814338684082, 'learning_rate': 2.696933560477002e-05, 'epoch': 1.02}
{'loss': 1.4478, 'grad_norm': 8.954034805297852, 'learning_rate': 2.6918228279386715e-05, 'epoch': 1.04}
{'loss': 1.19, 'grad_norm': 17.71742057800293, 'learning_rate': 2.686712095400341e-05, 'epoch': 1.06}
{'loss': 1.5874, 'grad_norm': 26.247398376464844, 'learning_rate': 2.6816013628620105e-05, 'epoch': 1.07}
{'loss': 1.3018, 'grad_norm': 19.841947555541992, 'learning_rate': 2.67649063032368e-05, 'epoch': 1.09}
{'loss': 1.4774, 'grad_norm': 16.670515060424805, 'learning_rate': 2.6713798977853496e-05, 'epoch': 1.11}
{'loss': 1.4377, 'grad_norm': 20.388526916503906, 'learning_rate': 2.6662691652470187e-05, 'epoch': 1.12}
{'loss': 1.2631, 'grad_norm': 15.63243293762207, 'learning_rate': 2.6611584327086883e-05, 'epoch': 1.14}
{'loss': 1.1249, 'grad_norm': 9.919599533081055, 'learning_rate': 2.6560477001703578e-05, 'epoch': 1.16}
{'loss': 1.2859, 'grad_norm': 15.604459762573242, 'learning_rate': 2.6509369676320273e-05, 'epoch': 1.18}
{'loss': 1.1466, 'grad_norm': 31.097301483154297, 'learning_rate': 2.6458262350936968e-05, 'epoch': 1.19}
{'loss': 1.2115, 'grad_norm': 15.437219619750977, 'learning_rate': 2.6407155025553663e-05, 'epoch': 1.21}
{'loss': 1.2811, 'grad_norm': 25.458206176757812, 'learning_rate': 2.6361158432708688e-05, 'epoch': 1.23}
{'loss': 1.0426, 'grad_norm': 15.243568420410156, 'learning_rate': 2.6310051107325383e-05, 'epoch': 1.24}
{'loss': 1.2687, 'grad_norm': 30.791259765625, 'learning_rate': 2.6258943781942078e-05, 'epoch': 1.26}
{'loss': 1.1114, 'grad_norm': 16.140037536621094, 'learning_rate': 2.6207836456558773e-05, 'epoch': 1.28}
{'loss': 1.1639, 'grad_norm': 43.43355178833008, 'learning_rate': 2.615672913117547e-05, 'epoch': 1.29}
{'loss': 1.1792, 'grad_norm': 27.10176658630371, 'learning_rate': 2.6105621805792167e-05, 'epoch': 1.31}
{'loss': 1.2335, 'grad_norm': 49.70281219482422, 'learning_rate': 2.6054514480408862e-05, 'epoch': 1.33}
{'loss': 1.0703, 'grad_norm': 22.80630874633789, 'learning_rate': 2.6003407155025557e-05, 'epoch': 1.35}
{'loss': 1.2089, 'grad_norm': 11.42827320098877, 'learning_rate': 2.5952299829642252e-05, 'epoch': 1.36}
{'loss': 1.3903, 'grad_norm': 35.11358642578125, 'learning_rate': 2.5901192504258947e-05, 'epoch': 1.38}
{'loss': 1.3714, 'grad_norm': 23.581178665161133, 'learning_rate': 2.5850085178875643e-05, 'epoch': 1.4}
{'loss': 1.0547, 'grad_norm': 16.810510635375977, 'learning_rate': 2.5798977853492334e-05, 'epoch': 1.41}
{'loss': 1.0246, 'grad_norm': 21.324111938476562, 'learning_rate': 2.574787052810903e-05, 'epoch': 1.43}
{'loss': 1.1983, 'grad_norm': 20.809240341186523, 'learning_rate': 2.5696763202725725e-05, 'epoch': 1.45}
{'loss': 1.371, 'grad_norm': 35.06184387207031, 'learning_rate': 2.564565587734242e-05, 'epoch': 1.47}
{'loss': 1.1499, 'grad_norm': 26.498554229736328, 'learning_rate': 2.5594548551959115e-05, 'epoch': 1.48}
{'loss': 1.1187, 'grad_norm': 18.033241271972656, 'learning_rate': 2.554344122657581e-05, 'epoch': 1.5}
{'loss': 0.9744, 'grad_norm': 26.49732780456543, 'learning_rate': 2.5492333901192505e-05, 'epoch': 1.52}
{'loss': 1.1549, 'grad_norm': 4.214284896850586, 'learning_rate': 2.54412265758092e-05, 'epoch': 1.53}
{'loss': 1.1109, 'grad_norm': 40.932769775390625, 'learning_rate': 2.5390119250425895e-05, 'epoch': 1.55}
{'loss': 0.9503, 'grad_norm': 29.00020980834961, 'learning_rate': 2.533901192504259e-05, 'epoch': 1.57}
{'loss': 1.0179, 'grad_norm': 25.459630966186523, 'learning_rate': 2.5287904599659286e-05, 'epoch': 1.58}
{'loss': 1.0875, 'grad_norm': 26.900758743286133, 'learning_rate': 2.523679727427598e-05, 'epoch': 1.6}
{'loss': 1.2845, 'grad_norm': 16.520164489746094, 'learning_rate': 2.5185689948892676e-05, 'epoch': 1.62}
{'loss': 0.832, 'grad_norm': 21.74371337890625, 'learning_rate': 2.513458262350937e-05, 'epoch': 1.64}
{'loss': 1.0782, 'grad_norm': 34.209877014160156, 'learning_rate': 2.5083475298126066e-05, 'epoch': 1.65}
{'loss': 1.0275, 'grad_norm': 17.741741180419922, 'learning_rate': 2.503236797274276e-05, 'epoch': 1.67}
{'loss': 1.0456, 'grad_norm': 21.01959800720215, 'learning_rate': 2.4981260647359456e-05, 'epoch': 1.69}
{'loss': 1.074, 'grad_norm': 14.6713228225708, 'learning_rate': 2.493015332197615e-05, 'epoch': 1.7}
{'loss': 0.8832, 'grad_norm': 17.747468948364258, 'learning_rate': 2.4879045996592847e-05, 'epoch': 1.72}
{'loss': 0.838, 'grad_norm': 27.876461029052734, 'learning_rate': 2.482793867120954e-05, 'epoch': 1.74}
{'loss': 0.9461, 'grad_norm': 10.703032493591309, 'learning_rate': 2.4776831345826237e-05, 'epoch': 1.75}
{'loss': 0.9715, 'grad_norm': 21.174816131591797, 'learning_rate': 2.4725724020442932e-05, 'epoch': 1.77}
{'loss': 0.9463, 'grad_norm': 14.29554271697998, 'learning_rate': 2.4674616695059627e-05, 'epoch': 1.79}
{'loss': 1.1885, 'grad_norm': 10.21628189086914, 'learning_rate': 2.4623509369676322e-05, 'epoch': 1.81}
{'loss': 0.9371, 'grad_norm': 26.096708297729492, 'learning_rate': 2.4572402044293017e-05, 'epoch': 1.82}
{'loss': 1.0698, 'grad_norm': 22.480934143066406, 'learning_rate': 2.4521294718909712e-05, 'epoch': 1.84}
{'loss': 0.9364, 'grad_norm': 44.082332611083984, 'learning_rate': 2.4470187393526408e-05, 'epoch': 1.86}
{'loss': 1.0774, 'grad_norm': 15.124009132385254, 'learning_rate': 2.4419080068143103e-05, 'epoch': 1.87}
{'loss': 1.0085, 'grad_norm': 26.73995018005371, 'learning_rate': 2.4367972742759798e-05, 'epoch': 1.89}
{'loss': 0.7556, 'grad_norm': 10.674480438232422, 'learning_rate': 2.4316865417376493e-05, 'epoch': 1.91}
{'loss': 0.5968, 'grad_norm': 6.856635093688965, 'learning_rate': 2.4265758091993188e-05, 'epoch': 1.93}
{'loss': 1.0673, 'grad_norm': 62.074005126953125, 'learning_rate': 2.4214650766609883e-05, 'epoch': 1.94}
{'loss': 0.9993, 'grad_norm': 31.739322662353516, 'learning_rate': 2.4163543441226575e-05, 'epoch': 1.96}
{'loss': 0.7763, 'grad_norm': 6.3335676193237305, 'learning_rate': 2.411243611584327e-05, 'epoch': 1.98}
{'loss': 0.9141, 'grad_norm': 29.52134132385254, 'learning_rate': 2.4061328790459965e-05, 'epoch': 1.99}
{'eval_loss': 1.525175929069519, 'eval_accuracy': 0.6137832017229002, 'eval_f1': 0.5664417638203759, 'eval_precision': 0.5490633073749573, 'eval_recall': 0.6137832017229002, 'eval_runtime': 40.8694, 'eval_samples_per_second': 34.084, 'eval_steps_per_second': 2.153, 'epoch': 2.0}
{'loss': 0.7673, 'grad_norm': 25.18128776550293, 'learning_rate': 2.401022146507666e-05, 'epoch': 2.01}
{'loss': 0.8558, 'grad_norm': 7.946769714355469, 'learning_rate': 2.3959114139693355e-05, 'epoch': 2.03}
{'loss': 0.7409, 'grad_norm': 8.617565155029297, 'learning_rate': 2.390800681431005e-05, 'epoch': 2.04}
{'loss': 0.875, 'grad_norm': 31.45060920715332, 'learning_rate': 2.3856899488926746e-05, 'epoch': 2.06}
{'loss': 0.6472, 'grad_norm': 28.06734275817871, 'learning_rate': 2.380579216354344e-05, 'epoch': 2.08}
{'loss': 0.7686, 'grad_norm': 19.46783447265625, 'learning_rate': 2.3754684838160136e-05, 'epoch': 2.1}
{'loss': 0.6198, 'grad_norm': 19.585819244384766, 'learning_rate': 2.370357751277683e-05, 'epoch': 2.11}
{'loss': 0.604, 'grad_norm': 25.657033920288086, 'learning_rate': 2.3652470187393526e-05, 'epoch': 2.13}
{'loss': 0.6772, 'grad_norm': 19.98203468322754, 'learning_rate': 2.360136286201022e-05, 'epoch': 2.15}
{'loss': 0.7838, 'grad_norm': 21.020662307739258, 'learning_rate': 2.3550255536626916e-05, 'epoch': 2.16}
{'loss': 0.7327, 'grad_norm': 8.77487850189209, 'learning_rate': 2.349914821124361e-05, 'epoch': 2.18}
{'loss': 0.5864, 'grad_norm': 30.525049209594727, 'learning_rate': 2.3448040885860307e-05, 'epoch': 2.2}
{'loss': 0.5574, 'grad_norm': 7.413772106170654, 'learning_rate': 2.3396933560477e-05, 'epoch': 2.21}
{'loss': 0.6439, 'grad_norm': 21.997825622558594, 'learning_rate': 2.3345826235093697e-05, 'epoch': 2.23}
{'loss': 0.5627, 'grad_norm': 26.375274658203125, 'learning_rate': 2.3294718909710392e-05, 'epoch': 2.25}
{'loss': 0.6343, 'grad_norm': 28.030372619628906, 'learning_rate': 2.3243611584327087e-05, 'epoch': 2.27}
{'loss': 0.6427, 'grad_norm': 14.217482566833496, 'learning_rate': 2.3192504258943782e-05, 'epoch': 2.28}
{'loss': 0.6347, 'grad_norm': 4.506690979003906, 'learning_rate': 2.3141396933560477e-05, 'epoch': 2.3}
{'loss': 0.6391, 'grad_norm': 27.8199462890625, 'learning_rate': 2.3090289608177172e-05, 'epoch': 2.32}
{'loss': 0.7371, 'grad_norm': 61.00789260864258, 'learning_rate': 2.3039182282793868e-05, 'epoch': 2.33}
{'loss': 0.5282, 'grad_norm': 4.426629543304443, 'learning_rate': 2.2988074957410563e-05, 'epoch': 2.35}
{'loss': 0.6911, 'grad_norm': 5.504046440124512, 'learning_rate': 2.2936967632027258e-05, 'epoch': 2.37}
{'loss': 0.8682, 'grad_norm': 40.89785385131836, 'learning_rate': 2.2885860306643953e-05, 'epoch': 2.39}
{'loss': 0.7665, 'grad_norm': 39.62834548950195, 'learning_rate': 2.2834752981260648e-05, 'epoch': 2.4}
{'loss': 0.8019, 'grad_norm': 27.972015380859375, 'learning_rate': 2.2783645655877343e-05, 'epoch': 2.42}
{'loss': 0.6024, 'grad_norm': 14.304162979125977, 'learning_rate': 2.2732538330494038e-05, 'epoch': 2.44}
{'loss': 0.6578, 'grad_norm': 54.76970672607422, 'learning_rate': 2.2681431005110733e-05, 'epoch': 2.45}
{'loss': 0.6963, 'grad_norm': 32.76673889160156, 'learning_rate': 2.263032367972743e-05, 'epoch': 2.47}
{'loss': 0.6034, 'grad_norm': 47.62903594970703, 'learning_rate': 2.2579216354344124e-05, 'epoch': 2.49}
{'loss': 0.6225, 'grad_norm': 20.252676010131836, 'learning_rate': 2.252810902896082e-05, 'epoch': 2.5}
{'loss': 0.7302, 'grad_norm': 12.43196964263916, 'learning_rate': 2.247700170357751e-05, 'epoch': 2.52}
{'loss': 0.9697, 'grad_norm': 45.15444564819336, 'learning_rate': 2.2425894378194206e-05, 'epoch': 2.54}
{'loss': 0.5557, 'grad_norm': 48.161922454833984, 'learning_rate': 2.23747870528109e-05, 'epoch': 2.56}
{'loss': 0.6737, 'grad_norm': 50.51390075683594, 'learning_rate': 2.2323679727427596e-05, 'epoch': 2.57}
{'loss': 0.4717, 'grad_norm': 6.462058067321777, 'learning_rate': 2.227257240204429e-05, 'epoch': 2.59}
{'loss': 0.7091, 'grad_norm': 9.653948783874512, 'learning_rate': 2.2221465076660986e-05, 'epoch': 2.61}
{'loss': 0.5942, 'grad_norm': 37.261226654052734, 'learning_rate': 2.217035775127768e-05, 'epoch': 2.62}
{'loss': 0.457, 'grad_norm': 11.113749504089355, 'learning_rate': 2.2119250425894376e-05, 'epoch': 2.64}
{'loss': 0.7771, 'grad_norm': 34.32149124145508, 'learning_rate': 2.206814310051107e-05, 'epoch': 2.66}
{'loss': 0.6727, 'grad_norm': 38.557769775390625, 'learning_rate': 2.2017035775127767e-05, 'epoch': 2.67}
{'loss': 0.5663, 'grad_norm': 18.89153289794922, 'learning_rate': 2.1965928449744462e-05, 'epoch': 2.69}
{'loss': 0.6134, 'grad_norm': 17.710906982421875, 'learning_rate': 2.1914821124361157e-05, 'epoch': 2.71}
{'loss': 0.6266, 'grad_norm': 12.666666984558105, 'learning_rate': 2.1863713798977852e-05, 'epoch': 2.73}
{'loss': 0.5471, 'grad_norm': 66.55352783203125, 'learning_rate': 2.181260647359455e-05, 'epoch': 2.74}
{'loss': 0.4577, 'grad_norm': 12.210596084594727, 'learning_rate': 2.1761499148211246e-05, 'epoch': 2.76}
{'loss': 0.5151, 'grad_norm': 57.268707275390625, 'learning_rate': 2.171039182282794e-05, 'epoch': 2.78}
{'loss': 0.6074, 'grad_norm': 31.940073013305664, 'learning_rate': 2.1659284497444636e-05, 'epoch': 2.79}
{'loss': 0.4602, 'grad_norm': 10.915481567382812, 'learning_rate': 2.160817717206133e-05, 'epoch': 2.81}
{'loss': 0.4543, 'grad_norm': 21.325830459594727, 'learning_rate': 2.1557069846678026e-05, 'epoch': 2.83}
{'loss': 0.7182, 'grad_norm': 18.11853790283203, 'learning_rate': 2.150596252129472e-05, 'epoch': 2.84}
{'loss': 0.5545, 'grad_norm': 24.727243423461914, 'learning_rate': 2.1454855195911416e-05, 'epoch': 2.86}
{'loss': 0.5209, 'grad_norm': 83.407958984375, 'learning_rate': 2.140374787052811e-05, 'epoch': 2.88}
{'loss': 0.5235, 'grad_norm': 21.32921600341797, 'learning_rate': 2.1352640545144807e-05, 'epoch': 2.9}
{'loss': 0.3725, 'grad_norm': 27.117469787597656, 'learning_rate': 2.13015332197615e-05, 'epoch': 2.91}
{'loss': 0.628, 'grad_norm': 31.9918155670166, 'learning_rate': 2.1250425894378197e-05, 'epoch': 2.93}
{'loss': 0.5038, 'grad_norm': 17.42096710205078, 'learning_rate': 2.1199318568994892e-05, 'epoch': 2.95}
{'loss': 0.4462, 'grad_norm': 18.012218475341797, 'learning_rate': 2.1148211243611587e-05, 'epoch': 2.96}
{'loss': 0.4734, 'grad_norm': 19.89809799194336, 'learning_rate': 2.1097103918228282e-05, 'epoch': 2.98}
{'loss': 0.4273, 'grad_norm': 22.597848892211914, 'learning_rate': 2.1045996592844977e-05, 'epoch': 3.0}
{'eval_loss': 1.4823216199874878, 'eval_accuracy': 0.6460875807609476, 'eval_f1': 0.61462430768125, 'eval_precision': 0.5965242705095013, 'eval_recall': 0.6460875807609476, 'eval_runtime': 40.9579, 'eval_samples_per_second': 34.011, 'eval_steps_per_second': 2.149, 'epoch': 3.0}
{'loss': 0.4485, 'grad_norm': 22.998552322387695, 'learning_rate': 2.0994889267461672e-05, 'epoch': 3.02}
{'loss': 0.354, 'grad_norm': 4.956971168518066, 'learning_rate': 2.0943781942078368e-05, 'epoch': 3.03}
{'loss': 0.506, 'grad_norm': 30.755001068115234, 'learning_rate': 2.0892674616695063e-05, 'epoch': 3.05}
{'loss': 0.5643, 'grad_norm': 23.161685943603516, 'learning_rate': 2.0841567291311758e-05, 'epoch': 3.07}
{'loss': 0.3899, 'grad_norm': 23.550216674804688, 'learning_rate': 2.079045996592845e-05, 'epoch': 3.08}
{'loss': 0.5709, 'grad_norm': 20.696964263916016, 'learning_rate': 2.0739352640545145e-05, 'epoch': 3.1}
{'loss': 0.3165, 'grad_norm': 22.098068237304688, 'learning_rate': 2.068824531516184e-05, 'epoch': 3.12}
{'loss': 0.4356, 'grad_norm': 7.545363426208496, 'learning_rate': 2.0637137989778535e-05, 'epoch': 3.13}
{'loss': 0.4483, 'grad_norm': 47.258689880371094, 'learning_rate': 2.058603066439523e-05, 'epoch': 3.15}
{'loss': 0.5187, 'grad_norm': 27.824068069458008, 'learning_rate': 2.0534923339011925e-05, 'epoch': 3.17}
{'loss': 0.3317, 'grad_norm': 8.48617172241211, 'learning_rate': 2.048381601362862e-05, 'epoch': 3.19}
{'loss': 0.4627, 'grad_norm': 11.052953720092773, 'learning_rate': 2.0432708688245315e-05, 'epoch': 3.2}
{'loss': 0.3239, 'grad_norm': 14.010223388671875, 'learning_rate': 2.038160136286201e-05, 'epoch': 3.22}
{'loss': 0.7146, 'grad_norm': 15.887770652770996, 'learning_rate': 2.0330494037478706e-05, 'epoch': 3.24}
{'loss': 0.4858, 'grad_norm': 6.497514247894287, 'learning_rate': 2.02793867120954e-05, 'epoch': 3.25}
{'loss': 0.3355, 'grad_norm': 31.075231552124023, 'learning_rate': 2.0228279386712096e-05, 'epoch': 3.27}
{'loss': 0.325, 'grad_norm': 10.103055000305176, 'learning_rate': 2.017717206132879e-05, 'epoch': 3.29}
{'loss': 0.3735, 'grad_norm': 9.998763084411621, 'learning_rate': 2.0126064735945486e-05, 'epoch': 3.3}
{'loss': 0.4793, 'grad_norm': 19.78059959411621, 'learning_rate': 2.007495741056218e-05, 'epoch': 3.32}
{'loss': 0.458, 'grad_norm': 10.069241523742676, 'learning_rate': 2.0023850085178876e-05, 'epoch': 3.34}
{'loss': 0.4619, 'grad_norm': 10.463235855102539, 'learning_rate': 1.997274275979557e-05, 'epoch': 3.36}
{'loss': 0.3409, 'grad_norm': 6.914103984832764, 'learning_rate': 1.9921635434412267e-05, 'epoch': 3.37}
{'loss': 0.5427, 'grad_norm': 29.144733428955078, 'learning_rate': 1.9870528109028962e-05, 'epoch': 3.39}
{'loss': 0.4408, 'grad_norm': 76.71318817138672, 'learning_rate': 1.9819420783645657e-05, 'epoch': 3.41}
{'loss': 0.5398, 'grad_norm': 6.298770427703857, 'learning_rate': 1.9768313458262352e-05, 'epoch': 3.42}
{'loss': 0.4165, 'grad_norm': 29.063945770263672, 'learning_rate': 1.9717206132879047e-05, 'epoch': 3.44}
{'loss': 0.336, 'grad_norm': 26.493377685546875, 'learning_rate': 1.9666098807495742e-05, 'epoch': 3.46}
{'loss': 0.4448, 'grad_norm': 33.02640151977539, 'learning_rate': 1.9614991482112437e-05, 'epoch': 3.48}
{'loss': 0.396, 'grad_norm': 32.644744873046875, 'learning_rate': 1.9563884156729132e-05, 'epoch': 3.49}
{'loss': 0.4737, 'grad_norm': 17.58078384399414, 'learning_rate': 1.9512776831345828e-05, 'epoch': 3.51}
{'loss': 0.5329, 'grad_norm': 34.555809020996094, 'learning_rate': 1.9461669505962523e-05, 'epoch': 3.53}
{'loss': 0.3797, 'grad_norm': 25.693864822387695, 'learning_rate': 1.9410562180579218e-05, 'epoch': 3.54}
{'loss': 0.3442, 'grad_norm': 83.62044525146484, 'learning_rate': 1.9359454855195913e-05, 'epoch': 3.56}
{'loss': 0.409, 'grad_norm': 13.625593185424805, 'learning_rate': 1.9308347529812608e-05, 'epoch': 3.58}
